message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=3.413774, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.316610495";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.398602, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.301040960";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.532408, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.300763461";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.428946, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.300163843";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.383429, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.284882006";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.517236, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.284219692";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.413774, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.284197077";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.502063, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.268848260";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.398602, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.268370356";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.368257, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.268288716";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.383429, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.252910673";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.353085, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.252781109";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.486891, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.252440506";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.368257, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.236849823";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.337912, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.236865171";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.471719, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.235983365";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.456546, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.220699777";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.353085, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.220301536";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.322740, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.220010969";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.307568, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.204347752";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.441374, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.204042289";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.337912, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.204061192";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.322740, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.188879607";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.292395, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.188880074";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.426202, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.188672111";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.411029, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.172960903";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.307568, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.172193666";"./src/turtle.cpp:update:260"
